36,46,25
15,35,15
66,53,15
2,45,15
39,67,15
57,43,15
26,28,15
51,35,25
32,57,25
10,54,25
27,13,15
17,23,15
56,41,15
51,24,25
62,4,15
63,64,15
13,41,15
59,2,15
39,2,15
34,22,15
5,21,15
29,48,25
67,70,15
32,33,15
23,51,25
64,50,15
37,6,15
45,43,25
23,24,15
4,34,15
15,18,15
64,43,15
44,6,15
67,46,15
12,58,15
70,48,15
62,45,15
39,11,15
39,37,25
44,24,15
54,58,15
8,70,15
14,45,25
18,28,25
63,60,15
24,58,15
18,22,15
2,24,15
65,57,15
10,29,15
1,47,15
12,48,25
36,46,25
41,65,15
7,14,15
27,50,25
34,38,25
69,62,15
32,61,15
24,56,15
46,62,15
10,50,25
10,6,15
62,16,15
54,4,15
65,59,15
26,23,15
13,42,15
4,3,15
13,24,25
41,66,15
20,39,25
55,33,15
67,8,15
48,31,25
68,38,15
39,46,25
63,21,15
57,59,15
20,61,15
25,13,15
24,13,15
27,23,15
0,68,15
46,62,15
40,59,25
11,33,15
14,36,15
12,54,25
1,13,15
10,38,15
42,44,25
65,22,15
23,13,15
7,26,15
64,25,15
59,60,15
36,65,15
47,7,15
9,39,15
